summary_path,reference_path,METEOR,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore,Summary Coverage,Cosine Similarity,Average_Score
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_11_2023_03_25-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_11_2023_03_25.txt,0.04789208603091018,1.0539733574589488e-05,0.13715510313420842,0.0251943178772447,0.0680417894454862,0.7869563102722168,0.09438470728793309,0.5382713308951836,0.2290744967698321
voiceapp\output\summaries_folder\glm4_9b_20241213_192515\CJG_12_2023_04_01-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_12_2023_04_01.txt,0.03732101690666604,6.750775830374068e-06,0.10523369717324377,0.02016241949033884,0.059333893087041706,0.7840370535850525,0.08459869848156182,0.6121935483016947,0.23118405418855256
voiceapp\output\summaries_folder\glm4_9b_20241213_192515\CJG_13_2023_04_08-summary_5.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_13_2023_04_08.txt,0.028636963495442428,1.5138885738580436e-07,0.08036529680365295,0.011574779165397503,0.046879756468797565,0.7863782048225403,0.06594594594594595,0.5029505988721407,0.20811225014526125
voiceapp\output\summaries_folder\glm4_9b_20241213_192515\CJG_14_2023_04_15-summary_2.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_14_2023_04_15.txt,0.0333897724753167,8.580973435993406e-07,0.09344115004492363,0.0185795624812706,0.05870020964360587,0.7780521512031555,0.07534246575342465,0.5930140877415259,0.22502539881244882
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG_15_2023_04_22-summary_2.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_15_2023_04_22.txt,0.019839289279297265,1.2630720721641478e-07,0.05898462186644196,0.00969441517386723,0.03075626711607331,0.7702798843383789,0.0898876404494382,0.6939711751842794,0.22621796846650646
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG_16_2023_04_29-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_16_2023_04_29.txt,0.05976739994640376,7.49949787477006e-05,0.16492450638792103,0.03137710633352702,0.08130081300813008,0.7853477001190186,0.11520190023752969,0.5910262538634715,0.2448312535196028
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG_17_2023_05_06-summary_5.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_17_2023_05_06.txt,0.08200880784151203,0.0013866382553612375,0.2032746370095768,0.03894899536321483,0.09576768612913192,0.7801938056945801,0.13266583229036297,0.6444015134119769,0.263711726243622
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG_18_2023_05_13-summary_1.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_18_2023_05_13.txt,0.05369210733545185,6.864195438101083e-05,0.14876543209876544,0.02841260037059913,0.0691358024691358,0.7960668206214905,0.10357142857142858,0.5588158018684897,0.2364224581026162
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_19_2023_05_20-summary_5.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_19_2023_05_20.txt,0.06715840102678161,0.00025135949530979295,0.1838074398249453,0.043165467625899276,0.0894029384182557,0.7872280478477478,0.09832134292565947,0.6194266635167865,0.255777188250818
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG_20_2023_05_27-summary_1.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_20_2023_05_27.txt,0.05214962662564971,6.563491396437684e-05,0.14082998661311916,0.02464505759442807,0.07014725568942437,0.786453127861023,0.10078387458006718,0.6179640985989037,0.24175068398521607
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG_21_2023_06_03-summary_5.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_21_2023_06_03.txt,0.0621220089375432,0.0002165722411253065,0.16300129366106078,0.032617136940201914,0.07347994825355757,0.7747065424919128,0.10251450676982592,0.6286537432608009,0.2478281779694575
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG_22_2023_06_10-summary_4.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_22_2023_06_10.txt,0.08097971239991326,0.0011771176577397994,0.19940476190476195,0.03692674210839785,0.09285714285714286,0.7792569994926453,0.10691144708423327,0.6898988847882169,0.2686430516012597
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG_23_2023_06_17-summary_1.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_23_2023_06_17.txt,0.07161374125328879,0.0004371291714822871,0.18965517241379312,0.03866745984533016,0.08204518430439951,0.7892606258392334,0.1320754716981132,0.6388528210264418,0.2586474476934241
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_24_2023_06_24-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_24_2023_06_24.txt,0.06234280047955619,0.00017215674676563007,0.17,0.035025017869907075,0.07785714285714286,0.7938323616981506,0.0998766954377312,0.6223367825065929,0.251652323165445
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_25_2023_07_01-summary_4.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_25_2023_07_01.txt,0.045334286173916445,2.8304497723314842e-05,0.1226776762017104,0.025376217173207434,0.0595694485402536,0.7841190695762634,0.10411899313501144,0.5976774875904975,0.23354035567908174
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_26_2023_07_08-summary_1.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_26_2023_07_08.txt,0.04902789126212302,2.5561803562323562e-05,0.12682379349046016,0.018528916339135316,0.07014590347923683,0.7829676866531372,0.07765957446808511,0.6099102057387592,0.23677570839520198
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG_27_2023_07_15-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_27_2023_07_15.txt,0.04396639572838778,1.3574412026839279e-05,0.12094653812445223,0.021631102016954108,0.0572597137014315,0.7893998622894287,0.0975609756097561,0.4605103405816754,0.21338964669347948
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG_28_2023_07_22-summary_5.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_28_2023_07_22.txt,0.06086361418883062,6.454101286877063e-05,0.16421725239616614,0.0319693094629156,0.07156549520766772,0.7792435884475708,0.13121019108280255,0.6024199250125486,0.24433481796122405
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG_29_2023_07_29-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_29_2023_07_29.txt,0.04553137813621221,1.2557328649262896e-05,0.12266052404261445,0.02592912705272256,0.06622516556291391,0.7839377522468567,0.09141583054626533,0.6063406753472798,0.2358053113881784
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_30_2023_08_05-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_30_2023_08_05.txt,0.035448630516982306,7.691368476016384e-07,0.09560342283859545,0.013581340419250075,0.05193272351726173,0.7835437655448914,0.06856540084388185,0.6006562670635867,0.2258238455767736
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_31_2023_09_09-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_31_2023_09_09.txt,0.05885554814137652,0.0002251786326162997,0.16493802175562866,0.04555808656036447,0.07740956235770301,0.7919654250144958,0.09937888198757763,0.6255693151618461,0.2520744482320044
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_32_2023_09_16-summary_1.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_32_2023_09_16.txt,0.050598407414520055,8.592706898035586e-05,0.1433901918976546,0.033600000000000005,0.07196162046908315,0.7801153659820557,0.0940649496080627,0.6403100016793198,0.2457230735016591
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_33_2023_09_23-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_33_2023_09_23.txt,0.04716725511563473,1.6655313241280027e-05,0.12673707615341856,0.026696329254727477,0.06670372429127293,0.78287672996521,0.0866738894907909,0.5990722685047332,0.23561000551403402
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG_34_2023_09_30-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_34_2023_09_30.txt,0.053925837635905124,3.314311242431831e-05,0.15113484646194927,0.03419716804702111,0.06889185580774367,0.7980445027351379,0.10458911419423693,0.7205941662325159,0.2609745028618139
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG_35_2023_10_07-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_35_2023_10_07.txt,0.05740021097685925,0.00014619304655515895,0.16110019646365423,0.03636363636363636,0.0731827111984283,0.787431538105011,0.11992263056092843,0.6575777413014812,0.2533146039222322
voiceapp\output\summaries_folder\glm4_9b_20241213_192515\CJG_36_2023_10_14-summary_1.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_36_2023_10_14.txt,0.024340645537495605,1.9536868231115715e-07,0.07185332011892963,0.014377788795240456,0.03766105054509415,0.7750030159950256,0.11455847255369929,0.7351112842228209,0.2369067572261841
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_37_2023_10_21-summary_4.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_37_2023_10_21.txt,0.05544505519472336,0.00011659250685878961,0.1511764705882353,0.03472630959387875,0.0776470588235294,0.7897427678108215,0.09548254620123203,0.6519618856689114,0.25154516288385126
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG_38_2023_10_28-summary_2.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_38_2023_10_28.txt,0.03699131096475837,1.662342532761207e-05,0.08762254901960785,0.012262415695892091,0.03553921568627451,0.774823784828186,0.09135802469135802,0.36096586366190153,0.18688882332599258
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_39_2023_11_04-summary_2.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_39_2023_11_04.txt,0.04127249226588187,4.9288781129689775e-06,0.1252392671588734,0.023529411764705882,0.060705496308449555,0.7933611273765564,0.10103092783505155,0.5788606140910166,0.23185333397765667
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG_40_2023_11_11-summary_2.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_40_2023_11_11.txt,0.04874983760594491,1.973665367645823e-05,0.1318783375899698,0.01904761904761905,0.05990248432783841,0.7855734825134277,0.09700176366843033,0.5654501098947423,0.2300888010904598
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_41_2023_11_18-summary_5.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_41_2023_11_18.txt,0.046844862013407554,2.413008749901515e-05,0.12947799385875128,0.021505376344086023,0.06345957011258956,0.7774403691291809,0.09108527131782945,0.5641128018939828,0.22898072906278535
